tourney_id,tourney_name,tourney_location,surface,draw_size,tourney_level,tourney_date,latitude,longitude
2005-317,Amersfoort,Amersfoort,Clay,32,A,20050718,52.15625,5.389694
2006-317,Amersfoort,Amersfoort,Clay,32,A,20060717,52.15625,5.389694
1996-317,Amsterdam,Amsterdam,Clay,32,A,19960729,52.378,4.9
1999-317,Amsterdam,Amsterdam,Clay,32,A,19990802,52.378,4.9
1969-9283,Amsterdam,Amsterdam,Clay,8,A,19690522,52.378,4.9
1995-317,Amsterdam,Amsterdam,Clay,32,A,19950724,52.378,4.9
2000-317,Amsterdam,Amsterdam,Clay,32,A,20000717,52.378,4.9
1997-317,Amsterdam,Amsterdam,Clay,32,A,19970728,52.378,4.9
2001-317,Amsterdam,Amsterdam,Clay,32,A,20010716,52.378,4.9
1998-317,Amsterdam,Amsterdam,Clay,32,A,19980803,52.378,4.9
1982-815,Amsterdam WCT,Amsterdam,Carpet,16,A,19821018,52.378,4.9
1969-9292,Anaheim,Anaheim,Carpet,8,A,19690425,33.834752,-117.911732
1982-704,Ancona,Ancona,Carpet,32,A,19821115,43.617014,13.517098
2021-9426,Antalya,Antalya,Hard,32,A,20210105,36.900964,30.695485
2019-7650,Antalya,Antalya,Grass,32,A,20190624,36.900964,30.695485
2018-7650,Antalya,Antalya,Grass,32,A,20180625,36.900964,30.695485
2017-7650,Antalya,Antalya,Grass,32,A,20170626,36.900964,30.695485
2017-7485,Antwerp,Antwerp,Hard,32,A,20171016,51.22111,4.399708
2019-7485,Antwerp,Antwerp,Hard,32,A,20191014,51.22111,4.399708
2020-7485,Antwerp,Antwerp,Hard,32,A,20201019,51.22111,4.399708
2021-7485,Antwerp,Antwerp,Hard,32,A,20211018,51.22111,4.399708
1998-430,Antwerp,Antwerp,Hard,32,A,19980216,51.22111,4.399708
1997-430,Antwerp,Antwerp,Hard,32,A,19970217,51.22111,4.399708
1993-430,Antwerp,Antwerp,Carpet,32,A,19931108,51.22111,4.399708
2022-7485,Antwerp,Antwerp,Hard,32,A,20221017,51.22111,4.399708
1996-430,Antwerp,Antwerp,Carpet,32,A,19960219,51.22111,4.399708
1992-430,Antwerp,Antwerp,Carpet,32,A,19921109,51.22111,4.399708
2016-7485,Antwerp,Antwerp,Hard,32,A,20161017,51.22111,4.399708
1994-430,Antwerp,Antwerp,Carpet,32,A,19941107,51.22111,4.399708
2018-7485,Antwerp,Antwerp,Hard,32,A,20181015,51.22111,4.399708
1973-2042,Aptos,Aptos,Hard,32,A,19730916,36.978773,-121.897634
2022-9410,Astana,Astana,Hard,32,A,20221003,-6.925621,107.601373
1990-367,Athens,Athens,Clay,32,A,19901001,33.959768,-83.376398
1987-367,Athens,Athens,Clay,32,A,19870615,33.959768,-83.376398
