tourney_id,tourney_name,tourney_location,surface,draw_size,tourney_level,tourney_date
1994-430,Antwerp,Antwerp,Carpet,32,A,19941107
2018-7485,Antwerp,Antwerp,Hard,32,A,20181015
1973-2042,Aptos,Aptos,Hard,32,A,19730916
2022-9410,Astana,Astana,Hard,32,A,20221003
1990-367,Athens,Athens,Clay,32,A,19901001
1987-367,Athens,Athens,Clay,32,A,19870615
1994-367,Athens,Athens,Clay,32,A,19941003
1986-367,Athens,Athens,Clay,32,A,19860616
1989-367,Athens,Athens,Clay,32,A,19890410
1992-367,Athens,Athens,Clay,32,A,19921005
1993-367,Athens,Athens,Clay,32,A,19931004
1988-367,Athens,Athens,Clay,32,A,19880613
1991-367,Athens,Athens,Clay,32,A,19910930
2004-96,Athens Olympics,Athens,Hard,64,A,20040816
1992-409,Atlanta,Atlanta,Clay,32,A,19920427
2017-6116,Atlanta,Atlanta,Hard,32,A,20170724
1999-409,Atlanta,Atlanta,Clay,32,A,19990426
2016-6116,Atlanta,Atlanta,Hard,32,A,20160801
2022-6116,Atlanta,Atlanta,Hard,32,A,20220725
1993-409,Atlanta,Atlanta,Clay,32,A,19930426
1978-412,Atlanta,Atlanta,Hard,32,A,19780821
2014-6116,Atlanta,Atlanta,Hard,28,A,20140721
2021-6116,Atlanta,Atlanta,Hard,32,A,20210726
2000-409,Atlanta,Atlanta,Clay,32,A,20000410
1994-409,Atlanta,Atlanta,Clay,32,A,19940425
1970-412,Atlanta,Atlanta,Hard,16,A,19700506
2015-6116,Atlanta,Atlanta,Hard,28,A,20150727
2013-6116,Atlanta,Atlanta,Hard,28,A,20130722
1998-409,Atlanta,Atlanta,Clay,32,A,19980427
1969-412,Atlanta,Atlanta,Hard,8,A,19690912
1980-412,Atlanta,Atlanta,Hard,32,A,19800818
1995-409,Atlanta,Atlanta,Clay,32,A,19950501
2001-409,Atlanta,Atlanta,Clay,32,A,20010423
2010-6116,Atlanta,Atlanta,Hard,28,A,20100719
2011-6116,Atlanta,Atlanta,Hard,28,A,20110718
2019-6116,Atlanta,Atlanta,Hard,32,A,20190722
1996-409,Atlanta,Atlanta,Clay,32,A,19960429
1986-412,Atlanta,Atlanta,Carpet,32,A,19860331
1985-412,Atlanta,Atlanta,Carpet,32,A,19850422
1997-409,Atlanta,Atlanta,Clay,32,A,19970428
2012-6116,Atlanta,Atlanta,Hard,28,A,20120716
2018-6116,Atlanta,Atlanta,Hard,32,A,20180723
1979-412,Atlanta,Atlanta,Hard,32,A,19790910
1981-412,Atlanta,Atlanta,Hard,32,A,19810817
1996-96,Atlanta Olympics,Atlanta,Hard,64,A,19960722
1973-412,Atlanta WCT,Atlanta,Clay,32,A,19730319
1974-412,Atlanta WCT,Atlanta,Clay,32,A,19740331
1975-412,Atlanta WCT,Atlanta,Carpet,32,A,19750324
1976-412,Atlanta WCT,Atlanta,Carpet,16,A,19760114
2021-8888,Atp Cup,Melbourne,Hard,12,A,20210202
2022-8888,Atp Cup,Sydney,Hard,16,A,20220103
2020-8888,Atp Cup,Sydney,Hard,24,A,20200106
1975-301,Auckland,Auckland,Grass,32,A,19750112
2005-301,Auckland,Auckland,Hard,32,A,20050110
1983-301,Auckland,Auckland,Hard,32,A,19830110
2009-301,Auckland,Auckland,Hard,28,A,20090112
1993-301,Auckland,Auckland,Hard,32,A,19930111
2017-0301,Auckland,Auckland,Hard,32,A,20170109
2020-0301,Auckland,Auckland,Hard,32,A,20200113
2016-0301,Auckland,Auckland,Hard,32,A,20160111
1974-301,Auckland,Auckland,Grass,32,A,19740107
2010-301,Auckland,Auckland,Hard,28,A,20100111
1982-301,Auckland,Auckland,Hard,32,A,19820111
1984-301,Auckland,Auckland,Hard,32,A,19840109
2004-301,Auckland,Auckland,Hard,32,A,20040112
1971-301,Auckland,Auckland,Hard,32,A,19710307
1992-301,Auckland,Auckland,Hard,32,A,19920106
2019-0301,Auckland,Auckland,Hard,32,A,20190107
2008-301,Auckland,Auckland,Hard,32,A,20080107
2014-301,Auckland,Auckland,Hard,28,A,20140106
1987-301,Auckland,Auckland,Hard,32,A,19870105
1977-301,Auckland,Auckland,Grass,32,A,19770110
1972-301,Auckland,Auckland,Grass,32,A,19711206
2012-301,Auckland,Auckland,Hard,28,A,20120109
1989-301,Auckland,Auckland,Hard,32,A,19890109
2007-301,Auckland,Auckland,Hard,32,A,20070108
1988-301,Auckland,Auckland,Hard,32,A,19880104
1980-301,Auckland,Auckland,Hard,32,A,19800101
2018-0301,Auckland,Auckland,Hard,32,A,20180108
2013-301,Auckland,Auckland,Hard,28,A,20130107
2006-301,Auckland,Auckland,Hard,32,A,20060109
1981-301,Auckland,Auckland,Hard,32,A,19810105
2015-301,Auckland,Auckland,Hard,28,A,20150112
1973-301,Auckland,Auckland,Grass,32,A,19730108
2011-301,Auckland,Auckland,Hard,28,A,20110110
1985-301,Auckland,Auckland,Hard,32,A,19850107
1976-301,Auckland,Auckland,Hard,32,A,19751231
1986-301,Auckland,Auckland,Hard,32,A,19860106
1990-301,Auckland,Auckland,Hard,32,A,19900108
1970-301,Auckland,Auckland,Grass,32,A,19700126
1979-301,Auckland,Auckland,Hard,32,A,19790102
1991-301,Auckland,Auckland,Hard,32,A,19910107
1995-301,Auckland,Auckland,Hard,32,A,19950109
1969-301,Auckland,Auckland,Grass,32,A,19690129
1996-301,Auckland,Auckland,Hard,32,A,19960108
1994-301,Auckland,Auckland,Hard,32,A,19940110
1968-301,Auckland,Auckland,Grass,32,A,19680131
2001-301,Auckland,Auckland,Hard,32,A,20010108
1998-301,Auckland,Auckland,Hard,32,A,19980112
1997-301,Auckland,Auckland,Hard,32,A,19970106
2000-301,Auckland,Auckland,Hard,32,A,20000110
1999-301,Auckland,Auckland,Hard,32,A,19990111
2003-301,Auckland,Auckland,Hard,32,A,20030106
2002-301,Auckland,Auckland,Hard,32,A,20020107
1968-580,Australian Chps.,Melbourne,Grass,64,G,19680119
1998-580,Australian Open,Melbourne,Hard,128,G,19980119
1985-580,Australian Open,Melbourne,Grass,96,G,19851125
2002-580,Australian Open,Melbourne,Hard,128,G,20020114
2005-580,Australian Open,Melbourne,Hard,128,G,20050117
2017-580,Australian Open,Melbourne,Hard,128,G,20170116
2014-580,Australian Open,Melbourne,Hard,128,G,20140113
1999-580,Australian Open,Melbourne,Hard,128,G,19990118
2003-580,Australian Open,Melbourne,Hard,128,G,20030113
2016-580,Australian Open,Melbourne,Hard,128,G,20160118
1970-580,Australian Open,Melbourne,Grass,64,G,19700119
2008-580,Australian Open,Melbourne,Hard,128,G,20080114
1980-580,Australian Open,Melbourne,Grass,64,G,19801226
2012-580,Australian Open,Melbourne,Hard,128,G,20120116
1990-580,Australian Open,Melbourne,Hard,128,G,19900115
2018-580,Australian Open,Melbourne,Hard,128,G,20180115
1987-580,Australian Open,Melbourne,Grass,96,G,19870112
1979-580,Australian Open,Melbourne,Grass,64,G,19791224
2013-580,Australian Open,Melbourne,Hard,128,G,20130114
1989-580,Australian Open,Melbourne,Hard,128,G,19890116
1978-580,Australian Open,Melbourne,Grass,64,G,19781226
1977-580,Australian Open,Melbourne,Grass,64,G,19770101
1988-580,Australian Open,Melbourne,Hard,128,G,19880111
2021-580,Australian Open,Melbourne,Hard,128,G,20210208
1997-580,Australian Open,Melbourne,Hard,128,G,19970113
1995-580,Australian Open,Melbourne,Hard,128,G,19950116
2007-580,Australian Open,Melbourne,Hard,128,G,20070115
2001-580,Australian Open,Melbourne,Hard,128,G,20010115
1991-580,Australian Open,Melbourne,Hard,128,G,19910114
1984-580,Australian Open,Melbourne,Grass,96,G,19841126
2006-580,Australian Open,Melbourne,Hard,128,G,20060116
2022-580,Australian Open,Melbourne,Hard,128,G,20220117
1992-580,Australian Open,Melbourne,Hard,128,G,19920113
1972-580,Australian Open,Melbourne,Grass,64,G,19711226
1981-580,Australian Open,Melbourne,Grass,64,G,19811224
2000-580,Australian Open,Melbourne,Hard,128,G,20000117
1974-580,Australian Open,Melbourne,Grass,64,G,19731226
2010-580,Australian Open,Melbourne,Hard,128,G,20100118
2020-580,Australian Open,Melbourne,Hard,128,G,20200120
2004-580,Australian Open,Melbourne,Hard,128,G,20040119
1982-580,Australian Open,Melbourne,Grass,96,G,19821202
1973-580,Australian Open,Melbourne,Grass,64,G,19721226
2011-580,Australian Open,Melbourne,Hard,128,G,20110117
1994-580,Australian Open,Melbourne,Hard,128,G,19940117
1983-580,Australian Open,Melbourne,Grass,96,G,19831129
1993-580,Australian Open,Melbourne,Hard,128,G,19930118
2015-580,Australian Open,Melbourne,Hard,128,G,20150119
1971-580,Australian Open,Melbourne,Grass,64,G,19710307
2019-580,Australian Open,Melbourne,Hard,128,G,20190114
1976-580,Australian Open,Melbourne,Grass,64,G,19751226
2009-580,Australian Open,Melbourne,Hard,128,G,20090119
1975-580,Australian Open,Melbourne,Grass,32,G,19741221
1969-580,Australian Open,Melbourne,Grass,64,G,19690120
1996-580,Australian Open,Melbourne,Hard,128,G,19960115
1977-581,Australian Open-2,Melbourne,Grass,64,G,19771219
1970-9290,Australian Round Robin,Brisbane,Grass,5,A,19700104
1975-2028,Aviles,Aviles,Clay,32,A,19751005
1976-2028,Aviles,Aviles,Clay,32,A,19761004
1983-726,Bahia,Bahia,Hard,32,A,19831121
1982-726,Bahia,Bahia,Carpet,32,A,19821122
1968-9307,Bakersfield WCT,Bakersfield,Carpet,8,A,19680401
1972-816,Baltimore,Baltimore,Hard,16,A,19720109
1977-816,Baltimore,Baltimore,Carpet,32,A,19770117
1974-816,Baltimore,Baltimore,Carpet,32,A,19740203
1969-9293,Baltimore,Baltimore,Grass,6,A,19690821
1975-816,Baltimore,Baltimore,Carpet,16,A,19750118
1976-816,Baltimore,Baltimore,Carpet,16,A,19760125
1978-816,Baltimore,Baltimore,Carpet,32,A,19780122
1973-816,Baltimore,Baltimore,Hard,16,A,19730103
1979-816,Baltimore WCT,Baltimore,Carpet,32,A,19790115
1982-816,Baltimore WCT,Baltimore,Carpet,16,A,19821101
1980-816,Baltimore WCT,Baltimore,Carpet,32,A,19800114
1968-9316,Baltimore WCT,Baltimore,Carpet,8,A,19680531
1976-2017,Bangalore,Bangalore,Clay,32,A,19761122
2009-1720,Bangkok,Bangkok,Hard,28,A,20090928
2004-1720,Bangkok,Bangkok,Hard,32,A,20040927
2012-1720,Bangkok,Bangkok,Hard,28,A,20120924
2007-1720,Bangkok,Bangkok,Hard,32,A,20070924
1982-334,Bangkok,Bangkok,Carpet,32,A,19821115
2013-1720,Bangkok,Bangkok,Hard,28,A,20130923
2003-1720,Bangkok,Bangkok,Hard,32,A,20030922
2008-1720,Bangkok,Bangkok,Hard,28,A,20080922
2006-1720,Bangkok,Bangkok,Hard,32,A,20060925
1981-334,Bangkok,Bangkok,Carpet,32,A,19811116
2005-1720,Bangkok,Bangkok,Hard,32,A,20050926
2011-1720,Bangkok,Bangkok,Hard,28,A,20110926
2010-1720,Bangkok,Bangkok,Hard,28,A,20100927
1980-334,Bangkok,Bangkok,Carpet,32,A,19801117
1975-425,Barcelona,Barcelona,Clay,64,A,19751013
2022-0425,Barcelona,Barcelona,Clay,64,A,20220418
1997-425,Barcelona,Barcelona,Clay,56,A,19970414
1972-425,Barcelona,Barcelona,Clay,32,A,19721023
1979-425,Barcelona,Barcelona,Clay,64,A,19791008
2019-0425,Barcelona,Barcelona,Clay,64,A,20190422
1970-425,Barcelona,Barcelona,Clay,64,A,19701003
1988-425,Barcelona,Barcelona,Clay,56,A,19880912
1984-425,Barcelona,Barcelona,Clay,64,A,19841001
1973-425,Barcelona,Barcelona,Clay,64,A,19731008
1981-425,Barcelona,Barcelona,Clay,64,A,19811005
2002-425,Barcelona,Barcelona,Clay,56,A,20020422
1985-425,Barcelona,Barcelona,Clay,64,A,19850923
2010-425,Barcelona,Barcelona,Clay,56,A,20100419
1996-425,Barcelona,Barcelona,Clay,56,A,19960415
1983-425,Barcelona,Barcelona,Clay,64,A,19831003
2009-425,Barcelona,Barcelona,Clay,56,A,20090420
1982-425,Barcelona,Barcelona,Clay,64,A,19821004
1975-278,Barcelona,Barcelona,Clay,64,A,19750407
2001-425,Barcelona,Barcelona,Clay,56,A,20010423
1987-425,Barcelona,Barcelona,Clay,56,A,19870921
2007-425,Barcelona,Barcelona,Clay,56,A,20070423
1999-425,Barcelona,Barcelona,Clay,56,A,19990412
1968-425,Barcelona,Barcelona,Clay,64,A,19680607
1995-425,Barcelona,Barcelona,Clay,56,A,19950410
2011-425,Barcelona,Barcelona,Clay,56,A,20110418
2008-425,Barcelona,Barcelona,Clay,56,A,20080428
1980-425,Barcelona,Barcelona,Clay,64,A,19801006
2018-0425,Barcelona,Barcelona,Clay,64,A,20180423
1986-425,Barcelona,Barcelona,Clay,64,A,19860922
2012-425,Barcelona,Barcelona,Clay,56,A,20120423
1990-425,Barcelona,Barcelona,Clay,56,A,19900409
1994-425,Barcelona,Barcelona,Clay,56,A,19940404
2021-0425,Barcelona,Barcelona,Clay,64,A,20210419
1978-425,Barcelona,Barcelona,Clay,64,A,19781009
2017-0425,Barcelona,Barcelona,Clay,64,A,20170424
1977-425,Barcelona,Barcelona,Clay,64,A,19771017
2004-425,Barcelona,Barcelona,Clay,56,A,20040426
1989-425,Barcelona,Barcelona,Clay,56,A,19890918
1969-425,Barcelona,Barcelona,Clay,64,A,19690512
2015-425,Barcelona,Barcelona,Clay,48,A,20150420
2013-425,Barcelona,Barcelona,Clay,48,A,20130422
2014-425,Barcelona,Barcelona,Clay,48,A,20140421
1976-278,Barcelona,Barcelona,Clay,64,A,19760404
1991-425,Barcelona,Barcelona,Clay,56,A,19910408
1976-425,Barcelona,Barcelona,Clay,64,A,19761018
1992-425,Barcelona,Barcelona,Clay,56,A,19920406
2003-425,Barcelona,Barcelona,Clay,56,A,20030421
2006-425,Barcelona,Barcelona,Clay,56,A,20060424
2016-0425,Barcelona,Barcelona,Clay,64,A,20160418
1974-425,Barcelona,Barcelona,Clay,64,A,19741014
1993-425,Barcelona,Barcelona,Clay,56,A,19930405
2000-425,Barcelona,Barcelona,Clay,56,A,20000424
1973-278,Barcelona,Barcelona,Clay,64,A,19730402
1998-425,Barcelona,Barcelona,Clay,56,A,19980413
2005-425,Barcelona,Barcelona,Clay,56,A,20050418
1969-9294,Barcelona 2,Barcelona,Clay,4,A,19691107
1992-92,Barcelona Olympics,Barcelona,Clay,64,A,19920727
1971-425,Barcelona WCT,Barcelona,Clay,64,A,19711018
1976-267,Barcelona WCT,Barcelona,Clay,16,A,19760202
1975-267,Barcelona WCT,Barcelona,Carpet,32,A,19750217
1974-267,Barcelona WCT,Barcelona,Carpet,32,A,19740303
1989-306,Bari,Bari,Clay,32,A,19890619
1986-306,Bari,Bari,Clay,32,A,19860407
1987-306,Bari,Bari,Clay,32,A,19870406
1984-306,Bari,Bari,Clay,32,A,19840402
1988-306,Bari,Bari,Clay,32,A,19880919
1985-306,Bari,Bari,Clay,32,A,19850415
1968-3940,Barranquilla,Barranquilla,Clay,32,A,19680304
1970-3940,Barranquilla,Barranquilla,Clay,64,A,19700316
1969-3940,Barranquilla,Barranquilla,Clay,8,A,19690310
1975-328,Basel,Basel,Carpet,32,A,19750209
2005-328,Basel,Basel,Carpet,32,A,20051024
1977-328,Basel,Basel,Carpet,32,A,19771025
2008-328,Basel,Basel,Hard,32,A,20081020
2001-328,Basel,Basel,Carpet,32,A,20011022
1996-328,Basel,Basel,Hard,32,A,19960923
2013-328,Basel,Basel,Hard,32,A,20131021
1981-328,Basel,Basel,Hard,32,A,19811012
1991-328,Basel,Basel,Hard,32,A,19910923
1983-328,Basel,Basel,Hard,32,A,19831010
1993-328,Basel,Basel,Hard,32,A,19930927
1998-328,Basel,Basel,Hard,32,A,19981005
1992-328,Basel,Basel,Hard,32,A,19920928
2018-0328,Basel,Basel,Hard,32,A,20181022
1995-328,Basel,Basel,Hard,32,A,19950925
2000-328,Basel,Basel,Carpet,32,A,20001023
2004-328,Basel,Basel,Carpet,32,A,20041025
2019-0328,Basel,Basel,Hard,32,A,20191021
2015-328,Basel,Basel,Hard,32,A,20151026
2002-328,Basel,Basel,Carpet,32,A,20021021
